date,type,category,subcategory,amount,platform,merchant,item,method,status,note
2025-07-10 10:36:08,支出,餐饮,外卖,26.52,Alipay,美团,美宜佳便利店（苏00862砂之船店）-美团App-25071011100400001306820745632545,零钱,,/
2025-07-10 11:18:49,支出,餐饮,外卖,0.01,Alipay,美团,神券包-美团App-25071011100400001306826337025545,零钱,,/
2025-07-10 11:20:43,支出,餐饮,外卖,24.8,Alipay,美团,小厨娘淮扬菜（秣周东路店）-美团App-25071011100400001306827104793545,零钱,,/
2025-07-10 14:34:00,支出,生活,,3.5,Alipay,24H便利购,自动售货机自选商品_消费时间：2025-07-10 14:34:57,中国银行储蓄卡(4612),交易成功,
2025-07-10 16:05:22,支出,出行,地铁,10.0,Alipay,江苏交通一卡通有限公司,充值,零钱,,/
2025-07-10 18:34:17,支出,消费,,439.0,Alipay,渔市无双,麟渔市无双UrbanFusion-扫码付-YY00101-250710-00161730(001),零钱,,/
2025-07-10 19:57:36,收入,消费,,219.5,Alipay,宋润妍,转账备注:微信转账,/,,/
2025-07-10 21:09:31,支出,出行,地铁,10.0,Alipay,江苏交通一卡通有限公司,充值,零钱,,/
2025-07-10 21:23:20,支出,生活,,3.5,Alipay,轻购云,先购后付,零钱,,/
2025-07-11 13:06:02,支出,餐饮,正餐,69.0,Alipay,肯德基,KFCWX10022518791750053777719,零钱,,/
2025-07-11 22:44:19,支出,生活,,61.8,Alipay,东大九龙湖校区梅园711店,南京金鹰便利超市管理有限公司,零钱,,/
2025-07-12 12:56:25,支出,餐饮,外卖,28.95,Alipay,美团,宴子礼山·饭格子(江宁店)-美团App-25071211100400001307206823050545,零钱,,/
2025-07-12 15:12:00,支出,消费,,120.8,Alipay,杨卓**你,富士柯达复古傻瓜一次性胶卷相机彩色冲洗黑白胶片乐魔lomo胶片机,中国银行储蓄卡(4612),支付成功,
2025-07-12 17:42:00,支出,出行,打车,9.0,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612),交易成功,
2025-07-12 19:19:00,支出,餐饮,正餐,214.0,Alipay,南山翁太阳城店—微信,太阳城店,零钱,,/
2025-07-12 19:27:00,支出,出行,打车,22.99,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612),交易成功,
2025-07-13 02:07:36,支出,生活,,2.0,Alipay,轻购云,先购后付,零钱,,/
2025-07-13 17:27:00,支出,出行,打车,16.42,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612),交易成功,
2025-07-13 19:18:38,支出,餐饮,正餐,202.4,Alipay,关东小磨东北菜,关东小磨(南京景枫中心店)-扫码付-YYG002500301-250713-01471803(001),零钱,,/
2025-07-13 19:39:00,支出,出行,打车,17.57,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612),交易成功,
2025-07-13 22:51:00,支出,生活,,3.0,Alipay,漫品茶生,订单：20250713225052350415,零钱,,/
2025-07-14 02:15:00,支出,餐饮,正餐,0.0,Alipay,闪魔**店,闪魔适用vivox200Promini钢化膜全屏x200 Promini手机膜x200Prominin的保护贴膜超高,,支付成功,
2025-07-14 11:10:30,支出,餐饮,外卖,35.4,Alipay,美团,避风塘(南京江宁砂之船店）-美团App-25071411100400001307592010435545,零钱,,/
2025-07-14 11:42:37,收入,消费,,77.34,Alipay,沈柔希,/,/,,/
2025-07-14 12:06:46,收入,消费,,77.34,Alipay,Automaton,/,/,,/
2025-07-14 15:25:00,支出,生活,,10.0,Alipay,24H便利购,自动售货机自选商品_消费时间：2025-07-14 15:25:22,中国银行储蓄卡(4612),交易成功,
2025-07-14 15:30:26,收入,出行,火车,43.0,Alipay,中铁网络,中铁网络,零钱,,/
2025-07-14 17:12:19,支出,餐饮,外卖,20.74,Alipay,美团,哆味记·干锅排骨烤鸭饭（江宁店）-美团App-25071411100400001307653986672545,零钱,,/
2025-07-14 19:44:59,支出,消费,,120.0,Alipay,这个非常润,FK2507141960V75B9,零钱,,/
2025-07-14 20:48:34,支出,餐饮,正餐,6.0,Alipay,东南大学九龙湖店,13761505097(东南大学九龙湖店),零钱,,/
2025-07-15 00:21:37,支出,餐饮,外卖,27.07,Alipay,美团,CHUXINYUMMY韩式炸鸡（殷巷店）-美团App-25071511100400001307723441750545,零钱,,/
2025-07-15 05:35:00,支出,会员,,20.0,Alipay,广州市动景计算机科技有限公司,连续包月(网盘SVIP会员),中国银行储蓄卡(4612),交易成功,
2025-07-15 13:29:00,支出,医疗,就医,0.0,Alipay,江苏省中医院,医保支付(不含自费),,支付成功,
2025-07-15 13:35:18,收入,医疗,就医,12.0,Alipay,江苏省中医院,江苏省中医院,零钱,,/
2025-07-15 15:01:00,支出,医疗,就医,0.0,Alipay,江苏省中医院,医保支付(不含自费),,支付成功,
2025-07-15 15:02:10,支出,医疗,就医,417.0,Alipay,江苏省中医院,医疗费,中国银行储蓄卡(4612),,/
2025-07-15 15:56:18,支出,生活,,8.5,Alipay,省中山柰便利店,江苏北星,中国银行储蓄卡(4612),,/
